DEPTH,A,B,C
3420.0912,44.92675,78.96567,52.27217
3420.2436,43.48924,79.42121,56.28425
3420.396,41.04905,78.00128,
3420.5484,35.89381,77.76135,38.69719
3420.7008,41.17749,78.36266,49.71908
3420.8532,37.72419,80.68146,41.96409
3421.0056,44.96189,77.97193,54.22108
3421.158,43.27576,78.13569,48.70919
3421.3104,41.93247,77.07744,46.89032
3421.4628,35.15282,82.47591,40.57367
3421.6152,40.29835,80.68413,
3421.7676,45.61128,79.91217,50.50356
3421.92,47.04779,80.0256,51.0948
3422.0724,46.4689,79.73421,
3422.2248,38.76849,79.99447,
3422.3772,44.85393,79.26817,
3422.5296,47.82105,78.59572,48.92319
3422.682,40.51912,83.45425,44.49334
3422.8344,45.58264,80.28786,52.85087
3422.9868,45.99015,79.09,52.37625
3423.1392,44.2562,80.55132,51.16856
3423.2916,39.83269,79.52838,45.80471
3423.444,44.42466,81.94227,52.42099
3423.5964,44.23505,79.45527,52.25947
3423.7488,44.9696,80.82188,
3423.9012,43.53975,81.79535,51.0558
3424.0536,43.64059,81.04278,50.89189
3424.206,45.02356,80.5658,49.28109
3424.3584,46.28323,80.35407,48.20664
3424.5108,44.14849,80.66996,50.61706
3424.6632,43.93529,80.15269,
3424.8156,44.84834,80.24212,53.02916
3424.968,38.51422,83.57948,
3425.1204,46.31768,80.57414,49.2763
3425.2728,44.22949,80.14413,
3425.4252,43.21972,80.68697,48.54808
3425.5776,44.95783,82.4327,45.13947
3425.73,36.08325,83.31904,
3425.8824,35.87076,83.27585,36.83366
3426.0348,42.37681,81.38015,45.43095
3426.1872,41.92058,82.5056,50.48132
3426.3396,40.95764,81.24798,
3426.492,39.02363,82.05532,
3426.6444,42.91048,83.00234,47.04537
3426.7968,42.91731,82.93961,47.99723
3426.9492,41.11813,81.03317,51.20109
3427.1016,38.23757,81.66617,
3427.254,31.96954,83.81081,36.62767
3427.4064,40.13257,84.57273,48.84794
3427.5588,41.85156,79.98836,
3427.7112,40.66626,82.84039,47.69504
3427.8636,35.58509,81.65689,37.9195
3428.016,40.80145,81.80207,45.8427
3428.1684,41.00979,82.13025,42.22726
3428.3208,43.56747,81.7128,46.14394
3428.4732,35.82949,82.769,43.65229
3428.6256,37.44404,83.20538,
3428.778,40.135,82.17804,
3428.9304,39.17788,81.23412,
3429.0828,35.64176,84.47836,40.40636
3429.2352,39.47106,83.89246,45.30362
3429.3876,39.99536,83.94092,
3429.54,37.91135,81.40941,
3429.6924,37.62826,83.67387,40.86756
3429.8448,36.18264,84.35543,41.87326
3429.9972,40.95829,81.60052,46.21517
3430.1496,33.50217,83.97525,40.16658
3430.302,33.99403,83.75661,40.32433
3430.4544,35.49417,85.88517,
3430.6068,37.845,85.63264,41.33521
3430.7592,29.32916,82.60247,35.13187
3430.9116,29.75384,87.52559,37.76891
3431.064,26.64494,83.89563,31.17652
3431.2164,31.71061,85.40334,
3431.3688,27.77886,85.9712,33.96653
3431.5212,29.57297,83.33077,39.68386
