DEPTH,A,B,C
3300.0,58.3872,77.23651,60.69406
3300.1524,51.62207,78.25476,58.22423
3300.3048,57.01479,78.02728,62.09099
3300.4572,55.37587,80.27035,60.23162
3300.6096,53.69375,76.96446,63.96062
3300.762,56.9082,79.09976,58.26972
3300.9144,58.56009,75.74063,63.70035
3301.0668,59.1032,78.27499,64.38523
3301.2192,57.39169,80.24335,59.751
3301.3716,52.42982,79.76511,57.31638
3301.524,53.94693,79.23595,54.74337
3301.6764,55.25703,78.24104,63.69583
3301.8288,53.03351,79.36204,56.18561
3301.9812,53.27279,79.06284,63.2583
3302.1336,55.23382,78.20312,60.07848
3302.286,51.81862,79.38452,59.36077
3302.4384,49.6212,80.37246,54.43271
3302.5908,49.73071,79.26832,54.8637
3302.7432,52.91315,78.81362,56.45836
3302.8956,50.60291,78.56345,56.19957
3303.048,51.12373,80.65301,56.6431
3303.2004,51.3764,80.86558,54.06172
3303.3528,48.41097,80.99735,53.00792
3303.5052,51.30578,81.50505,54.27369
3303.6576,49.5375,80.77756,60.13852
3303.81,44.0915,82.01777,48.95358
3303.9624,51.93742,80.79166,60.40885
3304.1148,45.83847,81.28688,50.44385
3304.2672,42.12468,81.36983,48.21798
3304.4196,43.7098,84.47723,44.9161
3304.572,44.35563,81.23037,48.49479
3304.7244,46.92438,80.63581,52.59933
3304.8768,45.24361,82.25334,54.12092
3305.0292,44.20688,82.23387,49.78268
3305.1816,46.9153,79.88129,55.71275
3305.334,46.16186,83.06695,52.38076
3305.4864,45.58146,81.73143,54.65896
3305.6388,45.00761,80.63307,50.20098
3305.7912,44.78182,83.4602,55.41415
3305.9436,36.4765,84.06181,40.59991
3306.096,41.62272,81.05108,45.28153
3306.2484,35.99994,85.57194,37.98183
3306.4008,41.89865,83.37033,52.69377
3306.5532,41.46352,82.65594,48.7018
3306.7056,44.2523,84.17911,47.94699
3306.858,44.37323,82.46272,52.44279
3307.0104,41.43458,82.69535,48.33651
3307.1628,39.03869,82.31059,49.47249
3307.3152,41.93645,83.37885,43.02851
3307.4676,38.55467,83.76998,43.09331
3307.62,39.90827,83.02061,44.00599
3307.7724,42.81988,81.62405,43.19768
3307.9248,37.14601,83.58261,45.18658
3308.0772,40.75198,82.80343,45.29993
3308.2296,39.82269,81.4256,47.3331
3308.382,34.31348,82.08296,46.26082
3308.5344,39.67466,83.71793,43.8946
3308.6868,39.28703,79.96823,44.31339
3308.8392,36.81628,83.69801,42.50681
3308.9916,34.43745,83.22286,42.65611
3309.144,33.10291,85.55269,36.98767
3309.2964,33.68577,83.28708,37.91802
3309.4488,36.79904,84.18534,44.71577
3309.6012,32.39584,83.55771,39.21343
3309.7536,36.7427,83.4959,37.08263
3309.906,31.92799,84.9411,34.43643
3310.0584,34.73241,83.05435,44.24867
3310.2108,35.32704,84.68717,41.62736
3310.3632,42.63757,81.17129,46.1755
3310.5156,30.98766,84.43165,36.35496
3310.668,38.84971,83.97088,44.00511
3310.8204,34.28285,84.30364,41.61799
3310.9728,34.58645,85.72664,36.30049
3311.1252,33.92495,82.56886,37.78787
3311.2776,34.96819,81.63042,41.74616
3311.43,33.51755,82.26474,39.35002
3311.5824,38.16623,83.50621,44.9027
3311.7348,32.55867,84.10347,35.20317
3311.8872,37.69027,82.80821,44.11201
3312.0396,32.29436,82.09479,41.27018
3312.192,34.3654,83.99756,41.14652
3312.3444,31.12892,82.03701,37.85455
3312.4968,35.66874,84.15854,40.82253
3312.6492,38.60551,85.69662,41.23368
3312.8016,33.6301,83.39247,39.23898
3312.954,33.6874,83.58094,42.57269
3313.1064,30.90688,82.64232,36.85804
3313.2588,33.78238,80.56406,38.03862
3313.4112,30.15142,82.49004,35.28315
3313.5636,32.64919,81.458,39.5219
3313.716,36.64581,80.36295,41.95671
3313.8684,40.14765,83.56886,46.45393
3314.0208,44.70128,81.07298,51.27001
3314.1732,34.77521,82.61529,42.86633
3314.3256,40.34347,80.87751,49.64865
3314.478,36.39922,81.55517,44.86015
3314.6304,34.91634,83.06393,38.32313
3314.7828,36.53773,81.5447,40.23895
3314.9352,35.97714,82.22353,41.63412
3315.0876,36.058,81.25738,41.00992
3315.24,34.7003,81.20263,38.0838
3315.3924,32.74402,80.13433,38.3318
3315.5448,32.53472,79.39574,38.24603
3315.6972,39.88585,80.26661,44.15099
3315.8496,37.06207,80.9851,42.32011
3316.002,36.42655,79.38172,45.88459
3316.1544,38.21204,80.52756,44.75704
3316.3068,40.84215,80.14988,52.89998
3316.4592,39.84056,77.5587,46.8931
3316.6116,36.94553,79.3917,42.67789
3316.764,43.24836,79.94225,48.9483
3316.9164,44.87171,79.5831,51.12999
3317.0688,41.7858,78.10523,49.16905
3317.2212,42.98416,79.40774,54.02559
3317.3736,44.28013,80.15744,47.69945
3317.526,44.14749,79.78997,51.93286
3317.6784,43.16825,78.79679,49.6716
3317.8308,43.58788,78.19318,45.75305
3317.9832,44.57573,77.75775,52.60547
3318.1356,40.0629,79.65756,49.31127
3318.288,45.41619,78.43354,49.12324
3318.4404,39.7797,79.70639,45.8528
3318.5928,42.01205,78.68077,43.82727
3318.7452,49.39745,78.30359,51.73479
3318.8976,48.84153,77.42448,57.22133
3319.05,51.38174,77.77828,55.63296
3319.2024,47.2278,78.41169,50.13009
3319.3548,44.42926,76.72831,51.3779
3319.5072,47.26369,75.00642,52.47968
3319.6596,48.24413,78.78934,52.54532
3319.812,48.3768,77.13371,56.10401
3319.9644,51.25955,74.24491,54.66803
3320.1168,47.44906,75.92681,51.45904
3320.2692,49.84127,77.26095,55.92711
3320.4216,45.46123,76.56688,54.19691
3320.574,49.62696,75.57466,58.866
3320.7264,48.76016,77.91245,52.74337
3320.8788,47.21552,75.11939,56.05756
3321.0312,50.01477,74.91235,54.32485
3321.1836,51.85386,75.76272,62.29332
3321.336,52.0665,75.86144,55.06007
3321.4884,57.97348,75.01917,66.74253
3321.6408,51.58362,76.39327,55.68572
3321.7932,51.50372,75.46889,62.51924
3321.9456,45.76554,76.59854,53.51766
3322.098,49.37303,75.08022,53.12563
3322.2504,51.1539,75.12171,55.95248
3322.4028,49.98313,75.27471,58.11909
3322.5552,56.84628,74.2992,65.21846
3322.7076,52.41395,75.55919,58.10596
3322.86,56.8134,74.566,62.60221
3323.0124,52.73459,74.49371,60.73359
3323.1648,51.93876,73.51954,58.69449
3323.3172,51.39151,74.58575,54.37216
3323.4696,51.69044,74.35958,55.89906
3323.622,57.71365,73.65659,64.11593
3323.7744,45.67317,77.81534,54.69072
3323.9268,47.09387,74.26419,57.85839
3324.0792,51.20671,74.72251,59.35424
3324.2316,52.27104,75.27995,58.94218
3324.384,53.7772,73.8329,61.8133
3324.5364,52.7035,76.62695,56.60953
3324.6888,51.06149,73.56118,57.18197
3324.8412,54.76842,73.79651,58.78213
3324.9936,55.07885,72.35315,58.36082
3325.146,51.96487,73.30954,59.27487
3325.2984,54.58922,73.59091,61.19636
3325.4508,52.52914,74.57316,60.35207
3325.6032,49.76078,74.31413,57.57145
3325.7556,53.31264,74.86971,59.87056
3325.908,51.01487,73.55183,58.91697
3326.0604,50.66424,73.28415,57.17007
3326.2128,54.60904,76.30222,61.10481
3326.3652,41.98327,75.39287,47.12137
3326.5176,44.18946,73.69603,52.27077
3326.67,44.6706,73.62677,53.46789
3326.8224,47.59332,72.86502,52.94353
3326.9748,47.67671,75.0845,54.2675
3327.1272,43.53002,74.12439,49.08691
3327.2796,44.89037,74.49159,50.46217
3327.432,45.53561,74.14909,49.63246
3327.5844,55.23039,73.63437,64.46319
3327.7368,52.69057,72.10913,62.05844
3327.8892,46.19592,72.79859,54.72027
3328.0416,46.15194,74.35708,57.87796
3328.194,44.12942,75.10669,50.46669
3328.3464,41.52983,75.17095,56.16352
3328.4988,45.89773,73.14401,52.45313
3328.6512,42.17325,75.48784,49.72195
3328.8036,45.27373,73.32018,51.42187
3328.956,41.11856,74.21547,49.38365
3329.1084,43.10575,73.41791,52.52973
3329.2608,45.20807,75.80631,51.45089
3329.4132,46.11318,74.88105,57.22339
3329.5656,45.28352,74.98536,52.6067
3329.718,39.18584,76.68682,46.77177
3329.8704,45.56422,77.62689,49.32859
3330.0228,39.95324,73.06274,48.73848
3330.1752,43.79282,73.67442,50.65986
3330.3276,41.32708,74.21564,47.11986
3330.48,36.93612,74.61955,42.64644
3330.6324,40.33823,73.86605,54.51731
3330.7848,41.97471,74.58511,48.47227
3330.9372,42.57794,73.42737,46.32084
3331.0896,38.887,75.87812,44.28322
3331.242,43.44124,74.89214,50.24516
3331.3944,41.02795,75.8085,49.3397
3331.5468,36.22029,76.60285,44.83454
3331.6992,38.39517,76.43407,47.13867
3331.8516,41.3687,74.8614,46.90433
3332.004,41.47874,77.88534,48.71063
3332.1564,30.87497,77.26072,36.28215
3332.3088,31.40104,74.71624,38.03277
3332.4612,38.01914,74.80822,43.2209
3332.6136,29.85814,75.20099,35.1011
3332.766,29.18284,77.46784,39.55812
3332.9184,31.59715,76.99663,40.90981
3333.0708,34.61666,76.18736,44.54981
3333.2232,32.64473,79.51966,39.59862
3333.3756,30.34858,78.17269,39.71257
3333.528,29.86534,78.52227,32.84502
3333.6804,29.57573,76.64323,39.61506
3333.8328,28.88094,76.73343,37.25229
3333.9852,37.57987,76.7409,46.20443
3334.1376,31.42136,77.89876,39.75459
3334.29,33.06384,75.28927,38.4675
3334.4424,29.92502,77.84475,33.72623
3334.5948,31.53099,77.91191,37.11978
3334.7472,29.3501,78.04008,38.31736
